"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","","D","Unmarked","0.0","0.0"
"q3","","C","Unmarked","0.0","0.0"
"q4","D","B","Incorrect","0.25","0.25"
"q5","D","D","Correct","1.0","1.25"
"q6","","C","Unmarked","0.0","1.25"
"q7","","A","Unmarked","0.0","1.25"
"q8","","C","Unmarked","0.0","1.25"
"q9","","A","Unmarked","0.0","1.25"
"q10","","D","Unmarked","0.0","1.25"
"q11","D","C","Incorrect","0.25","1.5"
"q12","BCD","B","Incorrect","0.25","1.75"
"q13","A","A","Correct","1.0","2.75"
"q14","D","D","Correct","1.0","3.75"
"q15","AB","B","Incorrect","0.25","4.0"
"q16","","C","Unmarked","0.0","4.0"
"q17","","D","Unmarked","0.0","4.0"
"q18","","A","Unmarked","0.0","4.0"
"q19","AB","B","Incorrect","0.25","4.25"
"q20","","C","Unmarked","0.0","4.25"
"q21","","A","Unmarked","0.0","4.25"
"q22","","D","Unmarked","0.0","4.25"
"q23","","B","Unmarked","0.0","4.25"
"q24","","C","Unmarked","0.0","4.25"
"q25","C","A","Incorrect","0.25","4.5"
"q26","A","B","Incorrect","0.25","4.75"
"q27","A","D","Incorrect","0.25","5.0"
"q28","","C","Unmarked","0.0","5.0"
"q29","","A","Unmarked","0.0","5.0"
"q30","","B","Unmarked","0.0","5.0"
"q31","","C","Unmarked","0.0","5.0"
"q32","","D","Unmarked","0.0","5.0"
"q33","","B","Unmarked","0.0","5.0"
"q34","","C","Unmarked","0.0","5.0"
"q35","","A","Unmarked","0.0","5.0"
"q36","","D","Unmarked","0.0","5.0"
"q37","D","B","Incorrect","0.25","5.25"
"q38","B","C","Incorrect","0.25","5.5"
"q39","","A","Unmarked","0.0","5.5"
"q40","BC","D","Incorrect","0.25","5.75"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","B","D","Incorrect","0.25","0.25"
"q3","A","C","Incorrect","0.25","0.5"
"q4","C","B","Incorrect","0.25","0.75"
"q5","ABC","D","Incorrect","0.25","1.0"
"q6","A","C","Incorrect","0.25","1.25"
"q7","B","A","Incorrect","0.25","1.5"
"q8","C","C","Correct","1.0","2.5"
"q9","B","A","Incorrect","0.25","2.75"
"q10","","D","Unmarked","0.0","2.75"
"q11","","C","Unmarked","0.0","2.75"
"q12","","B","Unmarked","0.0","2.75"
"q13","AB","A","Incorrect","0.25","3.0"
"q14","B","D","Incorrect","0.25","3.25"
"q15","A","B","Incorrect","0.25","3.5"
"q16","A","C","Incorrect","0.25","3.75"
"q17","AB","D","Incorrect","0.25","4.0"
"q18","A","A","Correct","1.0","5.0"
"q19","ABD","B","Incorrect","0.25","5.25"
"q20","","C","Unmarked","0.0","5.25"
"q21","","A","Unmarked","0.0","5.25"
"q22","","D","Unmarked","0.0","5.25"
"q23","","B","Unmarked","0.0","5.25"
"q24","","C","Unmarked","0.0","5.25"
"q25","B","A","Incorrect","0.25","5.5"
"q26","B","B","Correct","1.0","6.5"
"q27","","D","Unmarked","0.0","6.5"
"q28","","C","Unmarked","0.0","6.5"
"q29","ABD","A","Incorrect","0.25","6.75"
"q30","BD","B","Incorrect","0.25","7.0"
